month,111,112,121,122,211,212,221,222,231,311,312,321,411,421,511,521
1,560,400,120000,20000,60,400,115,400,25000,60000,5,250000,150000,15000,10000,30000
2,120,400,10000,23000,110,400,95,400,25000,65000,5,250000,25000,5000,10000,45000
3,60,400,0,4000,100,400,30,400,50000,75000,5,275000,25000,30000,10000,65000
4,560,400,120000,20000,60,400,115,400,25000,60000,5,250000,150000,15000,10000,30000
5,120,400,10000,23000,110,400,95,400,25000,65000,5,250000,25000,5000,10000,45000
6,60,400,0,4000,100,400,30,400,50000,75000,5,275000,25000,30000,10000,65000
7,560,400,120000,20000,60,400,115,400,25000,60000,5,250000,150000,15000,10000,30000
8,120,400,10000,23000,110,400,95,400,25000,65000,5,250000,25000,5000,10000,45000
9,60,400,0,4000,100,400,30,400,50000,75000,5,275000,25000,30000,10000,65000
